idproductos lya;Categor�a;Nombre comercial;Material;Descripci�n;Precio;Foto
1;Comedor;Moderno;Cedro/Jaquard gris;8 sillas. Largo mesa: 1,70 m;9000000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorModerno1024.jpg
2;Comedor;Clásico Americano;Caoba;6 sillas. Largo mesa: 1,60 m;750000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorClasico.jpeg
3;Comedor;Nórdico;Cedro y melamina blanca;6 sillas. Largo mesa: 1,60 m;680000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorNordico.jpg
4;Comedor;Pampa;Madera de roble/esterilla;8 sillas. Largo mesa: 1,70 m;765000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorPampa.jpg
5;Comedor;Gervasoni;Cedro;4 sillas. Diámetro mesa: 1,50 m;780000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorGervasoni copy.jpg
6;Living;Americano;Pana bordó;Sillón de 3 cuerpos, silla baja y mesa ratona.;660000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\Living1.jpg
7;Living;Praga;Pana gris claro;Sillón de 3 cuerpos, mesa ratona y taburete.;670000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingPraga1024.jpg
8;Living;Moderno;Pana naranja. Caño.;Sillón de 3 cuerpos + sillón individual y mesa ratona.;690000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingModerno1024.jpg
9;Living;Nórdico;Pana beige.;2 sillones de dos cuerpos c/u. Mesa ratona.;785000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingNordico1024.jpg
10;Living;Retro;Cedro-Jacquard-Cuero ecológico;1 sillón de 2 cuerpos. 3 sillones individuales. Un apoyapiés.;1750000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingRetro1024.jpg
11;Dormitorio;Clásico;Caoba;Cama de 2 plazas. Cómoda y 2 mesas de luz;760000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioClasico1024.jpg
12;Dormitorio;City;Cedro;Cama de 2 plazas. 2 sillones en cuero ecológico rojo. Mesa ratona;1600000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioCity.jpg
13;Dormitorio;Country;Roble labrado.;Incluye cómoda y mesas de luz;1800000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioCountry1024.jpg
14;Dormitorio;Blanco;Matelasé blanco. Pana gris.;Incluye cómoda y mesas de luz;810000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioBlanco1024.jpg
15;Dormitorio;Pampa;Roble.;Incluye cómoda y mesas de luz;950000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioPampa1024.jpg
16;Exterior;Bet;Rattan gris oscuro;Sillon de 2 cuerpos + 2 sillones de 1 cuerpo. Mesa de 1,20 m largo.;797000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\Exterior1.jpg
17;Exterior;Autum;Rattan color chocolate;Sillón de 4 cuerpos + mesa de 0,80 m de largo;860000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ExteriorAutumn1024.jpg
18;Exterior;Lincanray;Madera de pino pintada;Sillón de 6 cuerpos + mesa ratona + mesa auxiliar;945000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ExteriorLincanray1024.jpg
19;Exterior;Valdivia;Cedro;Sillón de 2 cuerpos y mesa ratona de 1,50 m;780000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\JuegoValdivia.jpg
20;Exterior;Rústico;Cedro;4 sillones de 2 cuerpos;905000;C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\JuegoRustico2.jpg
